scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Dolichopus,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Dolocucullia poolei,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
Doryctinae,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Dorymyrmex,2,2,2,0.004163166339684097,0.00781033677930656,0.0,Insecta,Pyramid Ants,0
Dorymyrmex bicolor,3,3,3,0.05304076004496201,0.027520441755256538,0.3333333333333333,Insecta,Bicolored Pyramid Ant,0
Dorymyrmex insanus,15,11,15,0.015662124171279487,0.010374540767417714,0.5333333333333333,Insecta,Crazy Pyramid Ant,0
Dorytomus,2,2,1,0.0013829581698530894,0.006238442647359322,0.0,Insecta,Willow Weevils,0
Dothideomycetes,2,1,2,0.006310928022085905,0.016848822578122327,0.0,Fungi,Unknown,0
Downingia cuspidata,5,3,2,3.365024778516648e-05,0.00015232446934509468,1.0,Plantae,toothed calicoflower,0
Dracotettix monstrosus,10,9,9,0.011968347502158744,0.010756818988720565,1.0,Insecta,Gray Dragon Lubber,0
Draeculacephala,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Draeculacephala minerva,3,3,3,0.009255749207339873,0.009397062491921463,0.6666666666666666,Insecta,Grass Sharpshooter,0
Drassinella,1,1,1,0.0,0.0,0.0,Arachnida,Unknown,0
Drassinella gertschi,1,1,1,0.0,0.0,0.0,Arachnida,Unknown,0
Drasteria,2,2,2,0.01970581823104531,0.006849791826168523,0.0,Insecta,Unknown,0
Drasteria edwardsii,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
Drasteria ochracea,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Drasteria pallescens,8,6,7,0.04808498202757998,0.032228175890982445,0.5,Insecta,Paler Graphic,1
Dreissena bugensis,2,2,2,0.0015320199562812568,0.0028273369782240735,1.0,Mollusca,Quagga Mussel,0
Drepanulatrix,2,2,2,0.06302796294106211,0.022370501557705404,0.0,Insecta,Unknown,0
Drepanulatrix monicaria,6,5,6,0.04470246066832555,0.017844613288844204,0.0,Insecta,Unknown,0
Dromius piceus,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
Drosanthemum floribundum,3,3,3,0.024204160037996483,0.023381570280850663,0.0,Plantae,Pale dewplant,0
Drosophila,2,2,2,0.00737708792898883,0.01847516810414319,0.0,Insecta,Small Fruit Flies,0
Drosophila repleta,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Drosophilidae,1,1,1,0.0,0.0,0.0,Insecta,Vinegar and Fruit Flies,0
Drosophilinae,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Druon fullawayi,1,1,1,0.0,0.0,0.0,Insecta,Yellow Wig Gall Wasp,0
Dryinidae,1,1,1,0.0,0.0,0.0,Insecta,Pincer Wasps,0
Dryobates,1,1,1,0.0,0.0,0.0,Aves,Dryobates Woodpeckers,0
Dryobates nuttallii,345,97,281,0.014420260031156809,0.01445893741385397,0.9942028985507246,Aves,Nuttall's Woodpecker,0
