scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Asparagaceae,2,2,2,1.6556339596815118e-05,0.0001573398148127436,0.0,Plantae,agave and allies,0
Asparagales,2,2,2,0.000806914054824416,6.810746450294947e-05,0.0,Plantae,"Agaves, Orchids, Irises, and Allies",0
Asparagus aethiopicus,1,1,1,0.0,0.0,1.0,Plantae,African Asparagus,0
Asparagus asparagoides,5,5,5,0.008650851210769493,0.006855220512484156,1.0,Plantae,Cape Smilax,1
Asparagus officinalis,5,4,4,0.0013696570801219063,0.001067179126527522,1.0,Plantae,wild asparagus,0
Asparagus setaceus,3,3,3,0.0009292084032623186,0.003215406704913674,1.0,Plantae,Common Asparagus Fern,0
Asphodeloideae,1,1,1,0.0,0.0,0.0,Plantae,Aloes and allies,0
Asphodelus fistulosus,5,5,5,0.01758002251215082,0.007917904707907632,0.8,Plantae,Onion-Leafed Asphodel,0
Asphondylia atriplicis,1,1,1,0.0,0.0,0.0,Insecta,Tumor Stem Gall Midge,1
Asphondylia enceliae,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Asphondylia photiniae,1,1,1,0.0,0.0,1.0,Insecta,Toyon Fruit Gall Midge,0
Aspicilia,3,3,3,0.019094353346502915,0.00904602761902709,0.0,Fungi,Sunken Disk Lichens,0
Aspicilia aurantiaca,6,2,5,0.013248504017968711,0.006129979705441136,0.3333333333333333,Fungi,Unknown,0
Aspicilia glaucopsina,1,1,1,0.0,0.0,0.0,Fungi,Unknown,0
Aspicilia nashii,1,1,1,0.0,0.0,0.0,Fungi,Unknown,0
Aspidoscelis hyperythrus,76,57,65,0.009303217167643731,0.004102660799637319,1.0,Reptilia,Orange-throated Whiptail,0
Aspidoscelis hyperythrus beldingi,9,9,9,0.01031322166338869,0.007688931088943987,1.0,Reptilia,Belding’s Orange-throated Whiptail,0
Astata,2,2,2,0.0046976573954318045,0.011725942630740024,0.0,Insecta,Unknown,0
Asteraceae,48,42,44,0.007137077316005095,0.0042137495585029,0.0,Plantae,"Sunflowers, Daisies, Asters, and Allies",1
Asterales,2,2,2,0.007027030686453721,0.0003114942549852538,0.0,Plantae,"Sunflowers, Bellflowers, Fanflowers, and Allies",0
Astereae,14,14,13,0.007717629406247844,0.00230467217259127,0.0,Plantae,asters and allies,1
Asterella bolanderi,1,1,1,0.0,0.0,1.0,Plantae,Unknown,0
Asterellopsis palmeri,26,21,22,0.009800384685874323,0.003660658481128016,0.8846153846153846,Plantae,Palmer's asterella,1
Asteroideae,53,50,47,0.00891060809087519,0.00475872950742477,0.0,Plantae,Unknown,1
Astigmata,1,1,1,0.0,0.0,0.0,Arachnida,Unknown,0
Astragalus,52,43,50,0.01013803502851578,0.0023646640357049024,0.0,Plantae,milkvetches,1
Astragalus didymocarpus,8,8,7,0.0004560774959625614,6.58531490042821e-05,0.25,Plantae,two-seeded milkvetch,0
Astragalus didymocarpus didymocarpus,1,1,1,0.0,0.0,1.0,Plantae,dwarf white milkvetch,0
Astragalus gambelianus,3,3,2,0.00020304467042455947,0.0008117473047885762,1.0,Plantae,Gambel's milkvetch,0
Astragalus nuttallii,1,1,1,0.0,0.0,0.0,Plantae,Nuttall's Milkvetch,1
Astragalus pomonensis,1,1,1,0.0,0.0,0.0,Plantae,Pomona Milkvetch,0
Astragalus trichopodus,278,198,207,0.010679065358930448,0.004107359049161462,0.49640287769784175,Plantae,Santa Barbara Milkvetch,1
Astragalus trichopodus lonchus,204,128,157,0.010649546989965484,0.0045776895110026476,0.9509803921568627,Plantae,Southern California Milkvetch,1
Astropecten,1,1,1,0.0,0.0,0.0,Animalia,Unknown,1
Astropecten armatus,1,1,1,0.0,0.0,1.0,Animalia,Spiny Sand Star,1
Astur cooperii,16,15,15,0.010124895160954035,0.00851320548564901,1.0,Aves,Cooper's Hawk,1
Asydates,2,2,2,0.0028376175330053215,0.0028491522830889028,0.0,Insecta,Unknown,0
Asydates grandiceps,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Athallia pyracea,2,1,1,0.0008214224010484867,0.0008567777401039634,0.5,Fungi,Flaming Firedot Lichen,0
Athelia arachnoidea,2,1,2,0.0008996402904421269,0.00045849708788591766,0.0,Fungi,cobweb duster,0
Atherigona,1,1,1,0.0,0.0,0.0,Insecta,Shoot Flies,0
Atherinops affinis,14,12,13,0.006809555957826344,0.0010891167338837311,0.9285714285714286,Actinopterygii,Topsmelt Silverside,1
Atherinopsidae,1,1,1,0.0,0.0,0.0,Actinopterygii,Neotropical Silversides,0
Atherinopsinae,1,1,1,0.0,0.0,0.0,Actinopterygii,Unknown,0
Atopetholidae,1,1,1,0.0,0.0,0.0,Animalia,Unknown,0
Atrimitra idae,15,7,15,0.004560480975409542,0.0004534018420179335,0.8,Mollusca,Ida's Mitre,0
Atriplex,18,16,17,0.007674532316607379,0.0027096846096188263,0.0,Plantae,Saltbushes,1
Atriplex canescens,17,9,17,0.011540788449902266,0.003331025594267246,0.4117647058823529,Plantae,Fourwing Saltbush,1
Atriplex glauca,2,2,2,0.004633120749460931,0.001090122977899251,0.0,Plantae,Waxy Saltbush,0
Atriplex lentiformis,6,3,6,0.0061077225907792175,0.003856290241356848,0.6666666666666666,Plantae,big saltbush,1
Atriplex leucophylla,2,2,2,0.009152422480152852,0.0002560705890799005,0.0,Plantae,beach saltbush,1
Atriplex pacifica,6,6,6,0.009555193679716809,0.004381266538886865,0.6666666666666666,Plantae,south coast saltscale,0
Atriplex prostrata,24,20,24,0.003930469648460016,0.005300555400359822,0.7916666666666666,Plantae,Creeping Saltbush,0
Atriplex semibaccata,104,62,89,0.006000195326374532,0.0029475495500584734,0.7788461538461539,Plantae,berry saltbush,1
Atriplex suberecta,1,1,1,0.0,0.0,1.0,Plantae,sprawling saltbush,0
Atriplex watsonii,5,4,5,0.002271632634805014,0.0002973402388692607,1.0,Plantae,Watson's Saltbush,0
Atripliceae,2,2,2,0.00016055453436547104,2.4458116450831737e-05,0.0,Plantae,Unknown,0
Attalus,17,12,15,0.00956542752674863,0.0025535210205057087,0.0,Insecta,Unknown,0
Auchenorrhyncha,1,1,1,0.0,0.0,0.0,Insecta,True Hoppers,0
Audibertia,5,5,5,0.009439268951416373,0.002389957125940794,0.0,Plantae,Unknown,0
