scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Plestiodon skiltonianus skiltonianus,1,1,1,0.0,0.0,1.0,Reptilia,Skilton's Skink,0
Pleurotus,2,2,2,0.0028320992716805455,0.0009591781864368725,0.0,Fungi,Oyster Mushrooms,0
Pleurotus ostreatus,2,2,2,0.0024709060872918076,0.0027168614431519952,0.5,Fungi,Oyster Mushroom,1
Pluteus,1,1,1,0.0,0.0,0.0,Fungi,Shields,0
Pluteus exilis,1,1,1,0.0,0.0,0.0,Fungi,Western Deer Mushroom,0
Poaceae,5,5,5,0.002152875341784417,0.0016377201620255588,0.0,Plantae,Grasses,1
Poales,2,2,2,4.597834565783467e-05,0.001887713759096582,0.0,Plantae,"Grasses, Sedges, Cattails, and Allies",0
Podilymbus podiceps,13,5,12,0.0002774665933646648,0.00016245958118361704,1.0,Aves,Pied-billed Grebe,0
Poecilanthrax,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Polioptila caerulea,1,1,1,0.0,0.0,0.0,Aves,Blue-gray Gnatcatcher,0
Polycaon,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Polycaon stoutii,1,1,1,0.0,0.0,0.0,Insecta,Stout's Hardwood Borer,0
Polydesmidae,1,1,1,0.0,0.0,0.0,Animalia,Unknown,0
Polypogon monspeliensis,1,1,1,0.0,0.0,1.0,Plantae,rabbitfoot grass,0
Polyporales,1,1,1,0.0,0.0,0.0,Fungi,Shelf Fungi,1
Pompiloidea,1,1,1,0.0,0.0,0.0,Insecta,"Spider Wasps, Velvet Ants, and Allies",0
Pontia,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Pontia protodice,2,2,2,3.390789148274509e-06,1.2290505806016955e-05,0.5,Insecta,Checkered White,1
Populus,5,5,5,0.0010470191016258958,0.0001354243564231656,0.0,Plantae,"poplars, cottonwoods, and aspens",0
Populus fremontii,12,8,11,0.0013425716485338261,0.0003269921247462016,0.75,Plantae,Frémont Cottonwood,0
Populus nigra,1,1,1,0.0,0.0,0.0,Plantae,Black Poplar,0
Populus trichocarpa,1,1,1,0.0,0.0,1.0,Plantae,black cottonwood,0
