rank,scientific_name,elevation,slope,aspect,ndvi,landcover,impervious,bathymetry,soil_sand,soil_ph,soil_clay,common_name,iconic_taxon_name,prob_RF_v1,prob_RF_v2,prob_RF_v3,prob_XGB_v1,prob_XGB_v2,prob_XGB_v3,prob_mean,prob_std,models_agree,confidence,imputed_into,sourced_from
67,Timmiella crassinervis,205.0,11.897954940795898,319.6366882324219,0.1578491479158401,52.0,0.0,186.0,45.0,72.0,27.0,,Plantae,0.2833333333333333,0.2398460565516829,0.3170327752498204,0.097753495,0.35852772,0.21413378,0.2517711940437041,0.09157776323783014,0,Low (<30%),Elliott Chaparral,Mission Trails
68,Auplopus,162.5,3.799297273159027,276.64051055908203,0.20266303420066828,73.5,0.0,148.5,43.0,72.5,27.0,,Insecta,0.11,0.13222205582252936,0.16338387115410577,0.16517563,0.40670523,0.49937126,0.24614300824967258,0.16420868907573236,0,Low (<30%),Elliott Chaparral,Mission Trails
69,Coenosia attenuata,206.0,1.854334115982056,180.0,0.1605563461780548,52.0,0.0,170.0,44.0,73.0,29.0,,Insecta,0.21333333333333335,0.27410672581207024,0.40296897272360693,0.06239482,0.38212734,0.1341149,0.24484101713714276,0.13509114577217268,0,Low (<30%),Elliott Chaparral,Mission Trails
70,Vanessa atalanta,165.0,3.7900466918945312,151.11652374267578,0.14557526260614395,52.0,0.0,166.0,45.0,72.0,25.5,Red Admiral,Insecta,0.16,0.171462610891357,0.16611237032135903,0.09819397,0.25529265,0.60100156,0.24201052820684196,0.18286467317536487,1,Low (<30%),Elliott Chaparral,Mission Trails
71,Drasteria,188.5,14.455440640449524,84.88883781433105,0.16073901951313013,36.5,5.5,198.5,43.0,73.0,28.0,,Insecta,0.2966666666666667,0.41385606878442366,0.599485898530669,0.013054169,0.019962858,0.104802355,0.24130466939063785,0.23700468315511283,1,Low (<30%),Elliott Chaparral,Mission Trails
72,Polydesmoides,210.0,5.20504903793335,210.75526428222656,0.1550600230693817,52.0,0.0,170.0,45.0,72.0,28.0,,Animalia,0.26666666666666666,0.24713575380680367,0.33861102921774505,0.033477664,0.34423137,0.20194826,0.2386784560161298,0.11440216321369624,0,Low (<30%),Elliott Chaparral,Mission Trails
73,Diplotaxis muralis,207.0,9.447418212890623,346.6125793457031,0.148916557431221,52.0,0.0,186.0,44.0,73.0,25.0,annual wall-rocket,Plantae,0.13666666666666666,0.20790306884370027,0.3956980991659881,0.060485158,0.55456406,0.06521368,0.23675512197333073,0.19880296604925934,1,Low (<30%),Elliott Chaparral,Mission Trails
74,Arctostaphylos glauca,183.0,2.8814313411712646,229.967041015625,0.1120305731892585,52.0,0.0,187.0,41.0,73.0,29.0,Big Berry Manzanita,Plantae,0.2633333333333333,0.3717560015431321,0.5383060251106113,0.037747443,0.121981315,0.04308364,0.22936795995037698,0.19991142557924196,1,Low (<30%),Elliott Chaparral,Mission Trails
75,Agalliina,185.0,11.898473739624023,140.19845581054688,0.1534878313541412,52.0,0.0,197.0,45.0,72.0,25.0,,Insecta,0.37,0.3282942800881948,0.4610000339431684,0.037630342,0.14335321,0.025892634,0.22769508313711495,0.1837196091628525,0,Low (<30%),Elliott Chaparral,Mission Trails
76,Conophorus fenestratus,176.0,7.3788604736328125,160.3529052734375,0.1354051232337951,52.0,0.0,142.0,45.0,72.0,25.0,Cone-snout Bee Fly,Insecta,0.16666666666666666,0.15919798584536024,0.17209241846643197,0.13689266,0.24526593,0.48053756,0.2267755378140304,0.12960404104300657,0,Low (<30%),Elliott Chaparral,Mission Trails
77,Cremastinae,176.0,3.308034658432007,270.0,0.1235500574111938,52.0,0.0,170.0,44.0,73.0,26.0,,Insecta,0.2,0.2472609007934525,0.2381350223078938,0.031598076,0.096337706,0.5263801,0.22328530448069847,0.1709173503465446,1,Low (<30%),Elliott Chaparral,Mission Trails
78,Acrolophus laticapitana,160.0,9.894325256347656,290.4334411621094,0.1472042948007583,36.5,3.5,183.5,45.0,72.5,26.5,,Insecta,0.17666666666666667,0.215888527617158,0.2157180168578218,0.14958838,0.1508941,0.42664313,0.22256647100386032,0.10421929055963841,0,Low (<30%),Elliott Chaparral,Mission Trails
79,Lonicera subspicata,173.0,5.802178382873535,229.9593505859375,0.1498714685440063,52.0,0.0,186.0,44.0,73.0,29.0,Southern Honeysuckle,Plantae,0.22,0.3021032752470796,0.30067137597262483,0.11311166,0.21216528,0.1630622,0.21851896537182372,0.07478512027456162,0,Low (<30%),Elliott Chaparral,Mission Trails
80,Amaranthus palmeri,274.5,6.409111499786377,221.9996643066406,0.0979494173079729,37.0,17.5,265.0,45.0,71.0,28.0,Palmer's Amaranth,Plantae,0.22,0.316075024903127,0.3011610005533244,0.076853596,0.12064457,0.25207818,0.21446872767870015,0.09697974282090337,0,Low (<30%),Elliott Chaparral,Mission Trails
81,Hoplitis,170.0,11.985767364501951,281.8651428222656,0.1200153529644012,52.0,0.0,186.0,45.0,72.0,27.0,Small Mason Bees,Insecta,0.18666666666666668,0.24443614137452885,0.2734097567485868,0.0711366,0.098758936,0.39296663,0.21122912167700303,0.11906001001125542,0,Low (<30%),Elliott Chaparral,Mission Trails
